,Open,High,Low,Close,5. volume
2006-04-25,884.9296,891.2762,860.5394,863.849,12037538.0
2006-04-26,863.169,890.3698,863.169,886.6066,14445475.0
2006-04-27,888.5562,918.477,888.5562,903.5164,30858585.0
2006-04-28,893.5884,916.6636,880.3962,913.7622,17271642.0
2006-05-02,925.7306,946.5844,925.7306,935.2056,6296672.0
2006-05-03,934.7972,942.9578,926.6372,938.1974,5898398.0
2006-05-04,937.5174,1017.3062,937.5174,978.4544,36407376.0
2006-05-05,981.0388,1005.5192,981.0388,996.9056,13198295.0
2006-05-08,998.2656,1060.646,998.2656,1047.8162,22912582.0
2006-05-09,1054.2084,1059.9206,1029.4108,1047.1818,17754013.0
2006-05-10,1046.3204,1083.4944,1032.312,1060.918,19230870.0
2006-05-11,1078.417,1078.417,995.999,1005.066,43262399.0
2006-05-12,1005.2926,1005.2926,958.8702,967.393,24573534.0
2006-05-15,961.0916,970.1582,917.5706,925.8668,30011327.0
2006-05-16,922.1036,953.838,885.111,945.9496,37010509.0
2006-05-17,961.0006,990.015,952.0244,985.6628,13312693.0
2006-05-18,978.3188,979.2252,902.1564,910.9514,25577711.0
2006-05-19,916.6636,952.9314,870.4224,885.4284,41284532.0
2006-05-22,896.7164,901.8846,730.7924,844.6726,38570291.0
2006-05-23,844.1282,889.4176,836.059,878.6734,26380123.0
2006-05-24,878.5826,881.3026,848.6618,850.9288,23823149.0
2006-05-25,852.2888,870.3316,838.6882,859.9502,20132731.0
2006-05-26,859.5424,898.802,859.5424,868.2464,21475112.0
2006-05-29,867.7024,886.7428,862.398,867.2942,11207312.0
2006-05-30,866.7956,885.4736,857.2754,866.025,10895267.0
2006-05-31,857.4566,872.5078,832.8854,864.3024,26245785.0
2006-06-01,864.0754,878.5826,838.6882,839.0508,21023980.0
2006-06-02,838.6882,871.9186,838.6882,868.0198,19149568.0
2006-06-05,869.5156,880.3962,838.7338,839.232,20397620.0
2006-06-06,829.6216,838.779,816.021,822.0506,25393479.0
2006-06-07,822.368,834.1546,796.1646,808.4504,32397483.0
2006-06-08,806.0474,809.0848,734.419,748.246,36164591.0
2006-06-09,747.9286,843.2218,742.2164,836.059,53748142.0
2006-06-12,834.1546,847.2566,809.4474,818.5596,24054901.0
2006-06-13,802.4208,806.0474,771.5934,778.62,25416690.0
2006-06-14,777.94,809.6742,764.0224,779.164,26309449.0
2006-06-15,793.3536,816.021,790.7244,811.669,20521160.0
2006-06-16,816.021,855.9154,816.021,834.8802,22791214.0
2006-06-19,837.872,852.0618,833.112,846.0778,15695304.0
2006-06-20,847.7552,849.5688,830.528,837.7364,13925954.0
2006-06-21,838.6882,878.4014,831.4346,874.14,21394060.0
2006-06-22,882.2096,901.2046,876.7692,883.0252,16997676.0
2006-06-23,884.0226,923.0106,863.169,917.5248,23171196.0
2006-06-26,913.9436,928.2238,885.8362,889.644,26361346.0
2006-06-27,889.4628,916.6184,888.3296,893.5884,46270942.0
2006-06-28,884.0226,912.493,879.9426,907.4152,35668281.0
2006-06-29,918.477,933.8908,909.6822,915.0318,20529721.0
2006-06-30,929.3572,962.9046,929.3572,959.958,17411860.0
2006-07-03,959.278,979.2252,955.6514,971.0652,16817546.0
2006-07-04,971.9716,981.764,967.665,972.833,9466237.0
2006-07-05,970.1582,997.2686,963.449,993.0068,13614248.0
2006-07-06,979.2252,989.108,972.0626,981.1292,16801095.0
2006-07-07,980.9932,991.919,930.2642,935.5682,18334453.0
2006-07-10,924.8236,951.8432,924.8236,945.8592,16664883.0
2006-07-11,950.574,954.2006,938.9682,950.4832,12879506.0
2006-07-12,942.9578,997.359,935.7042,995.8628,26906178.0
2006-07-13,990.1054,994.639,970.249,974.7826,14952543.0
2006-07-14,965.625,973.7852,953.0218,965.7608,14026728.0
2006-07-17,962.9046,968.3452,931.1708,935.2508,13076394.0
2006-07-18,937.5174,942.9122,896.9432,910.5886,26636338.0
2006-07-19,920.2906,924.8236,885.3828,890.4602,24102486.0
2006-07-20,907.5968,915.7118,893.271,902.7912,27969860.0
2006-07-21,902.066,902.066,866.7956,877.2678,25798973.0
2006-07-24,876.7692,884.0226,853.7844,881.3936,20384884.0
2006-07-25,890.3698,899.3006,885.8362,895.175,12914411.0
2006-07-26,897.759,911.0422,890.3698,907.0982,11723037.0
2006-07-27,906.69,920.3358,896.8524,905.3752,13432963.0
2006-07-28,904.8764,910.317,884.0226,888.6924,14010261.0
2006-07-31,888.5562,904.4234,885.9722,887.6496,10614274.0
2006-08-01,887.604,898.3486,884.1136,890.324,13779074.0
2006-08-02,889.4628,899.8898,887.831,897.5324,13977294.0
2006-08-03,898.802,913.4448,891.3214,895.9912,16173192.0
2006-08-04,895.8098,906.2368,873.1426,877.1318,20137504.0
2006-08-07,875.8626,878.22,864.0754,865.889,10490467.0
2006-08-08,852.2888,887.6496,852.2888,886.244,10250243.0
2006-08-09,884.1136,903.0634,877.676,894.359,12049539.0
2006-08-10,893.951,898.2576,876.8148,888.5562,10220813.0
2006-08-11,884.1136,920.2906,884.0226,916.7544,19219313.0
2006-08-14,916.6636,934.7972,916.6636,933.0294,9247471.0
2006-08-16,932.9842,955.3792,932.9842,947.491,9948850.0
2006-08-17,947.4458,973.3318,941.1444,965.9876,18447712.0
2006-08-18,964.7182,970.1582,951.571,957.0114,10692621.0
2006-08-21,956.2858,972.8782,947.491,968.3452,8218322.0
2006-08-22,981.9452,983.5774,958.462,965.489,10097459.0
2006-08-23,960.1846,973.649,957.5102,962.678,9501634.0
2006-08-24,959.0058,1017.3062,956.558,1003.2978,22429937.0
2006-08-25,1016.4902,1019.9358,999.1724,1006.8792,16379101.0
2006-08-28,1006.426,1019.2102,1004.7034,1017.3514,6175232.0
2006-08-29,1015.4928,1027.189,1010.0978,1012.501,8698876.0
2006-08-30,1003.706,1029.0476,1003.706,1023.8798,9782312.0
2006-08-31,1038.0696,1038.0696,1008.7834,1013.3166,11129692.0
2006-09-01,1012.7726,1022.7462,1012.7726,1017.4422,6657384.0
2006-09-04,1007.5592,1030.7708,1007.5592,1025.4664,6386277.0
2006-09-05,1024.5598,1027.2798,1015.3114,1020.2984,5771199.0
2006-09-06,1020.0262,1039.0212,1020.0262,1031.2238,9788579.0
2006-09-07,1027.2798,1028.549,1016.9436,1020.525,9389707.0
2006-09-08,1023.4262,1028.549,1008.6022,1024.8772,10979896.0
2006-09-11,1027.0076,1027.2798,980.5852,986.1614,17453961.0
2006-09-12,988.1106,1006.2448,974.873,1003.479,17378021.0
2006-09-13,1006.6526,1020.7514,1006.6526,1012.1836,15274336.0
2006-09-14,1017.3062,1030.045,1011.3674,1020.8876,10224948.0
2006-09-15,1029.0934,1036.9812,1010.9596,1034.08,10101513.0
2006-09-18,1077.1478,1077.1478,1022.9276,1026.4184,10691781.0
2006-09-19,983.9854,1038.1148,983.9854,1013.9966,11340181.0
2006-09-20,988.2924,1025.1038,988.2924,1022.1114,9933925.0
2006-09-21,1021.9758,1036.8,1021.9758,1032.0398,10563185.0
